Q No.,Question,Answer
282,"शून्य के अलावा वह सबसे छोटी पूर्ण वर्ग संख्या ढूँढ़ता हूँ जो २५, ४० और ६० से विभाज्य है। वह संख्या _____ है।",३६००
287,दो धनात्मक संख्याओं का गुणनफल ९८ है और बड़ी संख्या छोटी संख्या की २ गुनी है। छोटी संख्या _____ है।,७
474,१२५ रुपये प्रति मीटर की दर से कपड़ा खरीदकर १५० रुपये की दर से बेचने पर दुकानदार को २००० रुपये का लाभ होता है। दुकानदार ने कुल _____ मीटर कपड़ा खरीदा था।,८०
228,"४२० रुपये, ५६० रुपये और ६३० रुपये का म.स. _____ रुपये है।",७०
437,एक गारमेंट्स फैक्ट्री में प्रतिदिन ५५० शर्ट बनती हैं। उस फैक्ट्री में उसी दर से १ सप्ताह में _____ शर्ट बनती हैं।,३८५०
361,एक वर्गाकार मैदान की एक भुजा की लंबाई ५/२ कि.मी. है। मैदान का क्षेत्रफल _____ वर्ग किमी है।,२५/४
649,५ वर्ष पहले पिता और पुत्र की आयु का अनुपात ३:१ था और १५ वर्ष बाद पिता और पुत्र की आयु का अनुपात २:१ होगा। पुत्र की वर्तमान आयु _____ वर्ष है।,२५
466,एक बकरी १०% हानि पर बेची गई। यदि बिक्री मूल्य ४५० रुपये अधिक होता तो ५% लाभ होता। बकरी का क्रय मूल्य _____ रुपये है।,३०००
620,एक वर्गाकार क्षेत्र की एक भुजा की लंबाई ३०० मीटर है और बाहर चारों ओर ४ मीटर चौड़ा एक रास्ता है। रास्ते का क्षेत्रफल _____ वर्ग मीटर है।,४८६४
91,एक गाड़ी एक घंटे में ४२.८ कि.मी. जाती है। तो १५.५ घंटे में गाड़ी _____ कि.मी. जाती है।,६६३.४०
82,हम ०.६ लीटर दूध ३ विद्यार्थियों में बराबर बाँटना चाहते हैं। तो प्रत्येक विद्यार्थी को _____ लीटर दूध मिलेगा।,०.२०
431,ऐसी दो सबसे छोटी क्रमागत संख्याएँ हैं जिनके वर्गों का अंतर एक पूर्ण वर्ग संख्या है। छोटी संख्या _____ होगी।,४
353,एक आदमी हर महीने ८५० रुपये बचाता है। तो _____ वें महीने में उसकी बचत ५०००० रुपये पार कर जाएगी।,५९
175,५०/३ मीटर लंबे फीते का ३/८ भाग काटकर उसे बराबर ५ भागों में काटा जाए तो एक टुकड़े की लंबाई _____ मिलेगी।,५/४
210,इस साल हमारे स्कूल के ८० विद्यार्थियों ने माध्यमिक परीक्षा दी। यदि ६५% विद्यार्थी पास हों तो हिसाब करके देखते हैं कि _____ विद्यार्थियों ने इस साल माध्यमिक परीक्षा पास की है।,५२
64,"यदि भाजक ७८, भागफल २५ और शेषफल भाजक का एक-तिहाई हो तो भाज्य _____ होगा।",१९७६
55,४ कलमों का मूल्य ८० रुपये है। १० कलमों का मूल्य _____ रुपये है।,२००
200,१५ टॉफ़ियों में से ३ टॉफ़ियाँ लीं। देखता हूँ कुल टॉफ़ियों का प्रतिशत _____ भाग टॉफ़ियाँ लीं।,२०
213,चीनी का दाम बढ़ जाने से हमने तय किया है कि अभी की तुलना में ४% चीनी का उपयोग घटाएँगे। अभी हम प्रतिदिन ६२५ ग्राम चीनी का उपयोग करते हैं। घटाने के बाद प्रतिदिन चीनी _____ ग्राम उपयोग करेंगे।,६००
