Q No.,Question,Answer
173,"नए साल के दिन सैमुअल कोचिंग में शामिल हुआ। सैमुअल ४ नवंबर से बंद होने तक बिना नागा प्रतिदिन कोचिंग लेता रहा। सैमुअल को कितनी कोचिंग फीस देनी होगी, यदि दैनिक कोचिंग शुल्क २३ रुपये है और वह साल लीप ईयर नहीं है?",७०८४
138,"हार्पर पास के एक पशु फार्म में जाने का निर्णय लेती है जहाँ कुल ११ जानवर हैं। वह प्रवेश द्वार के पास एक कतार में खड़ी है, गेट से उसे फार्म के जानवरों के पैर दिखाई दिए और उसने कुल ३० पैर गिने। वह पहले से जानती है कि इस फार्म में केवल बत्तखें और घोड़े हैं। इस जानकारी से बत्तखों की संख्या ज्ञात कीजिए।",७
127,एक फार्म में जानवरों के ३८ पैर हैं और कुल १२ जानवर हैं। कुछ मुर्गियाँ हैं और कुछ भेड़ें। मुर्गियों की संख्या ज्ञात कीजिए।,५
95,(४ घंटे ३३ मिनट) + (९ घंटे २७ मिनट) = कितने घंटे?,१४
73,एक कारखाने में २ दिनों में ३६० मोटरसाइकिलें बनती हैं। ५ सप्ताह में उस कारखाने में कितनी मोटरसाइकिलें बनेंगी?,६३००
34,गोपाल दुकान से ५ रुपये प्रति अंडे के हिसाब से साढ़े चार गंडा अंडे लेकर घर गया। तो गोपाल के कितने रुपये खर्च हुए?,९०
381,"क्लेयर पास के एक पशु फार्म में जाने का निर्णय लेती है जहाँ कुल १९ जानवर हैं। वह प्रवेश द्वार के पास एक कतार में खड़ी है, गेट से उसे फार्म के जानवरों के पैर दिखाई दिए और उसने कुल ५६ पैर गिने। वह पहले से जानती है कि इस फार्म में केवल बत्तखें और घोड़े हैं। इस जानकारी से बत्तखों की संख्या ज्ञात कीजिए।",१०
224,एमिली ने एक रंगों का बॉक्स खरीदा जिसमें इंद्रधनुष के प्रत्येक रंग से मेल खाती पेंसिलें हैं। एमिली के ७ दोस्तों ने भी वही रंगों का बॉक्स खरीदा। उनके पास कुल कितनी पेंसिलें हैं?,५६
308,विक्टोरिया प्रतिदिन ९ घंटे काम करती थी और उसने कुल ३१५ घंटे काम किया। उसने कितने सप्ताह काम किया?,५
228,सुबह ८ बजे से शाम ५ बजे तक लगातार ४ घंटे बारिश हुई। कितने घंटे बारिश नहीं हुई?,५
133,"महीने के अंत में सचिन अपने अप्रैल महीने के खर्च का हिसाब कर रहा था। उसने देखा कि उसने बर्गर पर कुल ४२० रुपये खर्च किए हैं। यदि सचिन प्रतिदिन समान संख्या में बर्गर खाता है, तो वह प्रतिदिन कितने रुपये के बर्गर खाता है?",१४
223,थियोडोर के खिलौनों के बॉक्स में हमारी संख्या प्रणाली के प्रत्येक अंक का प्रतिनिधित्व करने वाले खिलौने हैं। थियोडोर के पास भाई-बहनों के लिए ऐसे २ और खिलौनों के बॉक्स हैं। उनके पास कितने खिलौने हैं?,३०
288,जगदीश की जेब में ताश के ५० पूरे डेक हैं। उसके पास कुल कितने हुकुम के पत्ते हैं?,६५०
333,एलेक्सा सुबह ५ बजे अपनी लैब पहुँची और लैब में १३ घंटे बिताए। एलेक्सा शाम को कितने बजे लैब से लौटी?,६
158,एजेकिएल ने थैंक्सगिविंग सेल के दौरान ३ जोड़ी जूते खरीदे। अब उसके कुल नए जूतों की संख्या कितनी है?,६
91,(२ घंटे ४५ मिनट) - (१ घंटा ५२ मिनट) = कितने मिनट?,५३
317,एक फार्म में ११ जानवर हैं। ११ जानवरों में से ६ बत्तखें हैं और बाकी कुत्ते। फार्म में जानवरों के कुल कितने पैर हैं?,३२
79,"२ घंटियाँ हैं। एक १२ मिनट के अंतराल पर और दूसरी ५ मिनट के अंतराल पर बजती है। यदि दोनों घंटियाँ दोपहर बाद ३ बजे एक साथ बजें, तो शाम को कितने बजे फिर से एक साथ बजेंगी?",४
10,करण एक १८ साल का लड़का है। उसके हाथों में तर्जनी उंगली नहीं है। उसके दोनों हाथों में कुल कितनी उंगलियाँ हैं?,८
