Q No.,Question,Answer
32,"एक सिनेमा थिएटर वयस्कों के लिए ७.५० रुपये और बच्चों के लिए ४.५० रुपये लेता है। एक सिनेमा दिखाने की रसीद ५४० रुपये थी। यदि ८० टिकट बिके, तो _____ वयस्क टिकट बिके।",६०
105,सीता की तुलना में रोहन के पास ३९० रुपये अधिक हैं। श्याम की तुलना में सीता के पास ४७० रुपये कम हैं। श्याम के पास ८९० रुपये हैं। सीता के पास _____ रुपये हैं।,४२०
159,रामनगर के एक कारखाने में पिछले साल ७५२१२०० रुपये की आय हुई थी। यदि इस साल ३२५०३२५ रुपये और आय हो तो दो सालों में कुल _____ रुपये की आय हुई।,१०७७१५२५
154,एक मेले में १२ जनरेटर प्रतिदिन ६ घंटे चलाने पर ७ दिनों में जमा तेल खर्च होता है। प्रतिदिन ४ घंटे चलाने पर ९ दिनों में उस जमा तेल से _____ जनरेटर चलाए जा सकेंगे।,१४
203,५५ मीटर लंबे बाँस का ११ मीटर कीचड़ और पानी के नीचे है। बाँस का प्रतिशत _____ भाग कीचड़ और पानी के ऊपर है।,८०
374,"सज्जन बाबू के पास २४,००० रुपये थे। उन्होंने इन रुपयों का ५/१२ भाग अनाथालय को, ३/८ भाग शिक्षा संस्थान को दान किया। उनके पास _____ रुपये बचे हैं।",५०००
506,एक आयताकार कमरे की परिधि एक वर्गाकार परिधि के बराबर है। आयताकार कमरे की लंबाई चौड़ाई की ३ गुनी है। ७५ रुपये प्रति वर्ग मीटर की दर से कमरे के फर्श को कार्पेट से ढँकने में कुल ११०२५ रुपये खर्च होते हैं। आयताकार कमरे की लंबाई _____ मीटर है।,२१
127,"सरस्वती विद्या मंदिर स्कूल की छठी कक्षा के छात्र-छात्राओं को, स्कूल के बगीचे में लगाने के लिए पंचायत से फूलों के पौधे भेजे गए। हिसाब करने पर देखा गया कि पौधों को २०, २४ या ३० पंक्तियों में लगाने पर हर स्थिति में प्रत्येक पंक्ति में बराबर पौधे रहते हैं। पंचायत से कम से कम _____ पौधे भेजे गए थे।",१२०
224,"मेरे पास २२ मीटर लंबा पीला फीता, २४.७५ मीटर लंबा हरा फीता और १६.५० मीटर लंबा नारंगी फीता है। इन तीनों रंगों के फीतों से सबसे बड़ी माप के टुकड़े काटना चाहता हूँ ताकि प्रत्येक रंग के फीते से बराबर लंबाई के कुछ टुकड़े मिलें और कोई फीता बर्बाद न हो। वह बराबर लंबाई का फीता _____ मीटर लंबा होगा।",२.७५
99,"राजेश ने १ मीटर लंबी एक रेखा खींची। फिर उसे लगा कि यह कुछ लंबी है। इसलिए, उसने इसका २२ सेंटीमीटर मिटा दिया। फलस्वरूप रेखा की लंबाई अब _____ से.मी. है।",७८
