Q No.,Question,Answer
45,तुषार दुकान से १२० रुपये प्रति दर्जन के हिसाब से ढाई दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ३ अंडे खराब हैं। तो तुषार का कितने रुपये का नुकसान हुआ?,३०
319,सोनू ने १७ साल की उम्र में अपने जन्मदिन पर एक संस्था को ८ हज़ार रुपये दान करना शुरू किया। कल सोनू ७१ साल का हो गया। अब तक सोनू ने कितने हज़ार रुपये दान किए हैं?,४४०
30,राकेश दुकान से ७ रुपये प्रति अंडे के हिसाब से साढ़े चार दर्जन अंडे लेकर घर गया। तो राकेश के कितने रुपये खर्च हुए?,३७८
325,ताश के डेक से ४ काले कार्ड निकाले गए हैं। बचे हुए काले कार्डों की संख्या कितनी है?,२२
156,ब्रुकलिन हर महीने धर्मार्थ संस्था को १४५३ रुपये दान करती है। एक साल में उसके कुल दान का हिसाब कीजिए।,१७४३६
20,अमित दुकान से ढाई दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ३ अंडे खराब हैं। तो अमित के पास कितने अच्छे अंडे हैं?,२७
78,मीना ४ मिनट में २०० मीटर चलती है। आधे घंटे में वह कितने मीटर चल सकेगी?,१५००
32,गोपाल दुकान से १० रुपये प्रति अंडे के हिसाब से साढ़े छह गंडा अंडे लेकर घर गया। तो गोपाल के कितने रुपये खर्च हुए?,२६०
240,एक अक्षर लिखने के लिए अलेक्जेंडर को कागज़ की एक शीट चाहिए। सभी स्वर लिखने के लिए कितने कागज़ों की ज़रूरत होगी?,११
361,"लेवी ने बोर्ड पर प्रत्येक स्वर लिखा। यदि प्रत्येक स्वर ३ बार लिखा गया हो, तो बोर्ड पर कुल कितने अक्षर लिखे गए थे?",३३
26,राकेश दुकान से १४ रुपये प्रति अंडे के हिसाब से आधा दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ३ अंडे खराब हैं। तो राकेश के कितने रुपये खर्च हुए?,८४
185,"एक कार पार्किंग लॉट में, ग्रेसन ने देखा कि कारों के ४८ पहिये हैं। पार्किंग लॉट में कारों की संख्या कितनी है?",१२
212,"एक मशीन डंठल काट रही है और सेबों को प्रोसेस कर रही है। यदि मुझे ६ घंटे बाद २०४ डंठल दिखाई दें, तो कितने सेब प्रोसेस किए गए हैं?",२०४
7,कॉपीराइट समस्या के कारण एक घंटे की मूवी का १५ मिनट का एक दृश्य काट दिया गया है। फिल्म की अंतिम लंबाई कितनी है (मिनटों में)?,४५
105,एक स्टील मिल में एक महीने में २४००० मीट्रिक टन रॉड बनती है। उस मिल में प्रतिदिन कितनी रॉड बनती है?,८००
326,"महीने के अंत में मेडलिन अपने मई महीने के खर्च का हिसाब कर रही थी। उसने देखा कि उसने पिज़्ज़ा पर कुल ४६५ रुपये खर्च किए हैं। यदि मेडलिन प्रतिदिन समान संख्या में पिज़्ज़ा खाती है, तो वह प्रतिदिन कितने रुपये के पिज़्ज़ा खाती है?",१५
82,"तीन अलग-अलग रंगों की घंटियाँ हैं। लाल रंग की घंटी १८ मिनट के अंतराल पर, पीले रंग की घंटी १५ मिनट के अंतराल पर और हरे रंग की घंटी १२ मिनट के अंतराल पर बजती है। यदि घंटियाँ शाम ६ बजे एक साथ बजें, तो रात को कितने बजे फिर से एक साथ बजेंगी?",९
307,"एंजेल ने बोर्ड पर अंग्रेज़ी का प्रत्येक स्वर (vowel) लिखा। यदि प्रत्येक स्वर ४ बार लिखा गया हो, तो बोर्ड पर कुल कितने अक्षर लिखे गए थे?",२०
